--step: 100
--average loss: 28.116196700504847
--average arcloss: 0.269345290426697
--average holloss: 2.1188546312706813
--average uniloss: 0.15752253335501468
--average posloss: 3.69830912564482
--average rotloss: 1.194146407502038
--average curloss: 0.9093138942761081
--average rsmloss: 1.558776319026947
--average safeloss: 16.308254497391836
--average anchors: 1.901674251471247
--step: 3800
--average loss: 27.448862859180995
--average arcloss: 0.2702014830761722
--average holloss: 2.1005450316837857
--average uniloss: 0.15570933425000735
--average posloss: 3.6403962522745132
--average rotloss: 1.1862753725477628
--average curloss: 0.8711262707199369
--average rsmloss: 1.5359777148280824
--average safeloss: 15.79749789408275
--average anchors: 1.8911334403923579
--step: 3900
--average loss: 27.272332429885864
--average arcloss: 0.2543011021667293
--average holloss: 2.009119016783578
--average uniloss: 0.15412481155778682
--average posloss: 3.525025876505034
--average rotloss: 1.1753187882048743
--average curloss: 0.8726032370967525
--average rsmloss: 1.5232031707252776
--average safeloss: 15.931474540914808
--average anchors: 1.827162123152188
--step: 4000
--average loss: 27.043843575886317
--average arcloss: 0.24306059149759157
--average holloss: 1.97023378099714
--average uniloss: 0.15289168458964145
--average posloss: 3.455210585679327
--average rotloss: 1.1634540664298194
--average curloss: 0.877230661788157
--average rsmloss: 1.500041623200689
--average safeloss: 15.908916958740779
--average anchors: 1.7728035066808974
--step: 4100
--average loss: 26.802849667412893
--average arcloss: 0.22123902211231844
--average holloss: 1.9188338390418462
--average uniloss: 0.15318841646824563
--average posloss: 3.525204449892044
--average rotloss: 1.1728332723890031
--average curloss: 0.8749044638659272
--average rsmloss: 1.48824109349932
--average safeloss: 15.609309417860848
--average anchors: 1.8390957564115524
--step: 4200
--average loss: 26.466096469334193
--average arcloss: 0.2266296230788742
--average holloss: 1.8996975698641367
--average uniloss: 0.1519739364406892
--average posloss: 3.52476820562567
--average rotloss: 1.1745274716189928
--average curloss: 0.9079184548131057
--average rsmloss: 1.4865304550954275
--average safeloss: 15.271054020949773
--average anchors: 1.822996856910842
--step: 4300
--average loss: 26.052301474979945
--average arcloss: 0.223405649486397
--average holloss: 1.8611322087900979
--average uniloss: 0.15070381228412902
--average posloss: 3.391803726553917
--average rotloss: 1.1546594543116433
--average curloss: 0.8701110210801873
--average rsmloss: 1.4726056392703737
--average safeloss: 15.140397676399775
--average anchors: 1.787482419184276
--step: 4400
--average loss: 26.19886234828404
--average arcloss: 0.23032591877771275
--average holloss: 1.8577891737222672
--average uniloss: 0.15138159479413713
--average posloss: 3.3780047489064082
--average rotloss: 1.1551351930413927
--average curloss: 0.869828919747046
--average rsmloss: 1.461941191128322
--average safeloss: 15.321244256837028
--average anchors: 1.7732113195317132
--step: 4500
--average loss: 25.948989050728933
--average arcloss: 0.2386461729183793
--average holloss: 1.749456369451114
--average uniloss: 0.15043524147144385
--average posloss: 3.4658786760909215
--average rotloss: 1.168221727013588
--average curloss: 0.8891121628029006
--average rsmloss: 1.4511955337865012
--average safeloss: 15.042877776282173
--average anchors: 1.7931653686932154
--step: 4600
--average loss: 25.880047695977346
--average arcloss: 0.24002232721873693
--average holloss: 1.7508349131260599
--average uniloss: 0.14882298479122774
--average posloss: 3.5320164476122176
--average rotloss: 1.1748495868274145
--average curloss: 0.8693102497075286
--average rsmloss: 1.4776056557893753
--average safeloss: 14.857418724468776
--average anchors: 1.8291668657745634
--step: 4700
--average loss: 25.963942323412216
--average arcloss: 0.23981758366738046
--average holloss: 1.7622803279331751
--average uniloss: 0.1491949257573911
--average posloss: 3.5144197813102176
--average rotloss: 1.1760807910135813
--average curloss: 0.8710936941206455
--average rsmloss: 1.4721204127584184
--average safeloss: 14.967177152633667
--average anchors: 1.811757864696639
--step: 4800
--average loss: 27.237219555037363
--average arcloss: 0.24209450823920114
--average holloss: 1.9690545776060648
--average uniloss: 0.15352470401142324
--average posloss: 3.687237015792302
--average rotloss: 1.1919098390000207
--average curloss: 0.9004508342061724
--average rsmloss: 1.5221099598067147
--average safeloss: 15.703494548797607
--average anchors: 1.8673436641693115
--step: 4900
--average loss: 27.92651731627328
--average arcloss: 0.25944582732128246
--average holloss: 2.1089062243700027
--average uniloss: 0.15784102412206785
--average posloss: 3.8694932418210164
--average rotloss: 1.2260769584349223
--average curloss: 0.9286458769014904
--average rsmloss: 1.542348976646151
--average safeloss: 15.858393354075295
--average anchors: 1.975365909082549
--step: 5000
--average loss: 27.691088267735072
--average arcloss: 0.25570711453578304
--average holloss: 2.1043241769075394
